url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_split_count,url_at_sign,dash_count,url_rank,email_count,name_server_count,status_count,domain_time,activeDuration,domain_name_count,domain_name_len,label
http://www.jinxiuyuanlin.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,1,0,64975801,42,0,68,0,0,1,4,0,1,2321,0,2,8,0,6214,1,15,1
http://www.informit.com/store/product.aspx?isbn=0201342936,1,1,1,2679547718,102,0,66,0,0,8,3,0,0,19719,2,8,2,0,7951,2,25,0
http://passion-marseille.com/wp-content/uploads/2012/Trulia/index.htm,1,1,0,3585745157,22,0,32,1,0,10,3,0,2,10000000,3,4,2,0,505,2,13,1
http://www.mccabe.com/products.htm,0,1,0,1078403488,53,0,34,1,0,1,4,0,0,3854300,2,2,1,0,9680,1,10,0
http://members.tripod.com/campbell_naomi/,0,1,0,3519740994,1,0,41,1,0,4,3,0,0,147641,2,8,8,0,9533,2,25,0
"http://www.pearsonhighered.com/educator/academic/product/0,3110,0136059406,00.html",1,1,1,1749736237,534,0,100,0,0,8,4,0,0,514,2,8,8,0,8745,2,25,0
http://www.port7alliance.com/radical/,0,1,0,3352098923,12,0,37,0,0,1,3,0,0,4726603,0,4,1,0,7235,2,1,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cr3uYAzX5-tUjpqlflLj8lC-VEu1DXerJPtVg_xxs8TSoQTBK9XUAsaNCwIoXLkgae0X2WAPIapLZvoiAk_1cvusoRb8D2ArpPrzCLEQIfSSMKmk9wk5HOKbhh_Pgpn_SrKw9OabN_mWCvgF2ojR1Iwbj1E00o5308uKQEjwJnCzT1wDh1MWfsZloazE7dt2SsyDClwvOE2v6RV81vNRNAMjFV-Rg\%3D\%3D&amp;attredirects=0,1,1,0,1823564169,7,0,298,0,0,4,9,0,7,1,2,8,12,0,8451,2,31,1
http://www.sankhya.com/info/varadhi.html,0,1,1,1979167014,82,0,40,0,0,6,4,0,0,6530251,0,2,8,0,8855,1,11,0
http://tools.ietf.org/html/rfc772,1,1,1,69191229,39,0,34,0,0,8,3,0,0,11392,0,6,3,0,9370,1,8,0
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,0,1,0,1383448142,0,1,152,1,0,0,5,0,2,10705,0,3,1,0,8411,1,8,1
http://tools.ietf.org/html/rfc713,1,1,1,69191229,77,0,34,0,0,7,3,0,0,11392,0,6,3,0,9370,1,8,0
http://elizajayneoriginals.tripod.com/everythingbaby/,0,1,0,3519740994,20,0,53,1,0,6,3,0,0,10000000,2,8,8,0,9533,2,25,0
http://tools.ietf.org/html/rfc104,1,1,1,69191229,5,0,34,0,0,8,3,0,0,11392,0,6,3,0,9370,1,8,0
http://www.members.shaw.ca/rnchan/,0,1,0,1077642798,5,0,34,1,0,3,4,0,0,7625,2,-1,-1,0,7310,1,7,0
http://netboletonline.webatu.com/env_cred.php,1,1,0,2572943460,1,1,46,0,0,5,3,0,0,5967,2,2,8,0,4913,1,14,1
http://www.microsoft.com/msj/0599/complusprog/complusprog.aspx,0,1,1,399773160,110,1,62,0,0,5,4,0,0,21,4,8,12,0,10779,2,31,0
http://en.wikipedia.org/wiki/General_MIDI,1,1,1,1734780640,424,0,42,0,0,6,3,0,0,13,2,6,6,0,7235,2,31,0
