url,short_url,state_code,url_length,meta_data,dash_count,activeDuration
http://tools.ietf.org/html/rfc106,1,0,34,7,0,9372
http://www.hexatron.com/palm.html,0,0,33,3,0,8635
http://www.bebits.com/app/1226,0,1,30,0,0,7827
http://www.greatvalley.org/cvdn/,0,1,32,0,0,8456
http://tools.ietf.org/html/rfc1543,1,0,35,10,0,9372
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coR6d1y3RrhSWX-BFQR_JrKD-wOPW_aVUCCbFB9yoVS4jbmZTTHW1srGlVHdKB9lZB1m1Sqqc1r2VGl6lTlEPW-CRg_e6eAcfYKjp-O53kqWwO0mdJBBkUHXP_md1ZxhGOYAvaeU20j_6q57leK_uLgpHFRKQR6jwGgHSjkhxR0H6iBPZ_-9UDK2NiOQRQgfjT7cPVfXSNG6Mtak9nf6_J-W9W6tw\%3D\%3D&amp;attredirects=2,1,0,298,4,10,8453
http://tools.ietf.org/html/rfc3007,1,0,35,9,0,9372
http://www.marzocca.net/linux/,0,0,30,4,0,6003
http://www.briannorris.com/programs.html,0,0,40,2,0,8347
http://www.zinebook.com/resource/adobe.html,0,0,43,3,0,8880
http://www.nytimes.com/library/tech/00/03/circuits/articles/23sull.html,1,0,92,19,0,9789
http://tools.ietf.org/html/rfc2350,1,0,35,9,0,9372
http://canecreek.net/remax/,1,1,31,2,0,5966
http://www.oreillynet.com/windows/blog/2008/01/rubynet_vs_ironruby_whats_the.html,1,0,23,20,0,8564
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7crG8Cs9F92J75UVyOqnwm6cscFLMIX0jM61tPoL_lCmDpZPc8rviXbPCmfrUyen1WLdBeC0nNUPBUdAVIfI_Y822nFRneV0iwp7b2WvYsAdokFslwpvpoKaO4ZTcIF5ZpiMdBKHNz_-_j1ALcLqPHXijsiq3QCEbBc2TJJ-LiLI6M5jmaP1wI897rM8fgBsM_dESxzyIw-LPxZFoGUh4OOwXVbQlw\%3D\%3D&amp;attredirects=0,1,0,298,4,7,8453
http://www.pixy.cz/apps/webedit/,1,1,33,0,0,6634
http://workingwithwalter.com/wp-admin/images/screenshots/Paypal_Virefication/1591b9872cad92d25278f4bef1ca1d8e/,0,1,110,0,1,473
http://pastehtml.com/view/bdiudlgu5.html,1,0,41,1,0,4301
http://www.cyberverse.net/query/trace/,0,1,38,0,0,8991
http://groups.yahoo.com/group/PCGF/,1,0,45,8,0,9424
http://groups.yahoo.com/group/Palace-Graphics/,1,0,56,8,1,9424
http://www.qinxin.cn/images/index.htm?ref=http:/eyaohyjus.battle.net/d3/en/index,1,0,21,3,0,6444
http://www.rybkj.cn/jpg?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,0,1,92,1,1,174
http://www.linabtechnologies.com/media/system/js/8f4e1b231bc520120a29649a394cd6b0/Einloggen.htm,1,1,91,4,0,3322
http://tools.ietf.org/html/rfc1302,1,0,35,10,0,9372
http://www.w3.org/Style/CSS/msie/,0,0,33,0,0,9620
http://dmoz.org/Regional/faq.html,1,1,37,0,0,7979
http://www.c2.com/cgi/wiki?MetaObjectProtocol,1,0,38,1,0,9511
http://www.openp2p.com/pub/a/p2p/2003/04/03/alan_kay.html,1,0,30,21,0,8564
http://www.popularmechanics.com/science/robotics/,1,1,62,11,0,9374
http://tools.ietf.org/html/rfc832,1,0,34,8,0,9372
http://www.sxlfjzzs.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fsdiltqius.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,0,140,5,1,1347
http://codigobox.com/~purebusi/paypal/,0,0,38,0,0,1405
http://hannestool.com/wp-includes/js/re02ornzan/,0,1,48,0,1,4985
http://www.noorbrands.com/cgi-binn/remax/index.htm,1,1,46,8,1,3093
http://www.reportlab.com/software/opensource/,1,0,37,6,0,7640
http://www-archive.mozilla.org/docs/codestock99/xul/xul_files/v3_document.htm,1,0,78,4,1,8322
http://www.angelfire.com/hiphop/DarkProphecy/index.html,0,0,55,7,0,8058
http://blackmaxphoto.tripod.com/bcphoto/index.html,0,0,50,6,0,9535
http://automateinternetmarketing.com/service/service/Path=6N349g2t8ZR5ctyn3hw5sIr/,0,1,82,0,0,6355
http://www.baneclene.com/catalog/carpet-fibers-manufacture.html,0,1,63,1,2,8880
http://www.kuodesign.com/pineapple/,0,0,35,2,0,8991
http://pastehtml.com/view/bg3kdlghp.html,1,0,41,14,0,4301
http://www.cs.tut.fi/staff/pk/scheme/psd/article/article.html,0,0,61,0,0,10902
http://www.informatica.com/us/solutions/enterprise-data-integration-and-management/data-quality/,1,0,73,23,5,9152
http://www.informit.com/articles/article.aspx?p=1609144,1,0,56,8,0,7953
http://tools.ietf.org/html/rfc755,1,0,34,8,0,9372
http://www.tamos.com/products/commview/,1,0,40,4,0,9052
http://x0shop.com/images?us.battle.net/login/en/?ref=kwoyldwus.battle.net/d3/en/index&amp;app=com-d3,0,0,100,0,1,8
http://www.bluemangolearning.com/revolution/,1,0,87,14,0,5530
http://www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=rlhydbzus.battle.net/d3/en/index&app=com-d3,0,1,106,0,1,3671
