url,short_url,favicon,href_count,url_length,page_redirect,url_split_count,label
http://www.jinxiuyuanlin.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,0,42,68,0,4,1
http://www.informit.com/store/product.aspx?isbn=0201342936,1,1,102,66,0,3,0
http://passion-marseille.com/wp-content/uploads/2012/Trulia/index.htm,1,0,22,32,0,3,1
http://www.mccabe.com/products.htm,0,0,53,34,0,4,0
http://members.tripod.com/campbell_naomi/,0,0,1,41,0,3,0
"http://www.pearsonhighered.com/educator/academic/product/0,3110,0136059406,00.html",1,1,534,100,0,4,0
http://www.port7alliance.com/radical/,0,0,12,37,0,3,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cr3uYAzX5-tUjpqlflLj8lC-VEu1DXerJPtVg_xxs8TSoQTBK9XUAsaNCwIoXLkgae0X2WAPIapLZvoiAk_1cvusoRb8D2ArpPrzCLEQIfSSMKmk9wk5HOKbhh_Pgpn_SrKw9OabN_mWCvgF2ojR1Iwbj1E00o5308uKQEjwJnCzT1wDh1MWfsZloazE7dt2SsyDClwvOE2v6RV81vNRNAMjFV-Rg\%3D\%3D&amp;attredirects=0,1,0,7,298,0,9,1
http://www.sankhya.com/info/varadhi.html,0,1,82,40,0,4,0
http://tools.ietf.org/html/rfc772,1,1,39,34,0,3,0
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,0,0,0,152,0,5,1
http://tools.ietf.org/html/rfc713,1,1,77,34,0,3,0
http://elizajayneoriginals.tripod.com/everythingbaby/,0,0,20,53,0,3,0
http://tools.ietf.org/html/rfc104,1,1,5,34,0,3,0
http://www.members.shaw.ca/rnchan/,0,0,5,34,0,4,0
http://netboletonline.webatu.com/env_cred.php,1,0,1,46,0,3,1
http://www.microsoft.com/msj/0599/complusprog/complusprog.aspx,0,1,110,62,0,4,0
http://en.wikipedia.org/wiki/General_MIDI,1,1,424,42,0,3,0
http://free-mobiles2u.co.uk/schemas/wellsfargo.com/index.htm,0,0,2,60,0,5,1
http://www.netbsd.org/about/redistribution.html,0,0,50,47,0,4,0
http://news.cnet.com/2100-1017-955806.html,1,0,230,60,0,3,0
http://klepa.net/.www.americanexpress.com/uk/,1,-1,95,16,0,2,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpTbaYgcQQpUeqbLW_me1O2InYOBHFq824sCCuN7f3CdR8DqHD9PLAmqw8RR0yulU3yQ828hoQmOuu8Qn1fIaiblOyYXb85VdvJb4djfUJNSoDLLm5kUkSBqNDF6xN7XlnfG8wxhkeqqkV5o2iVxRRF6XKDDaAhY_5wpQ0-iNHXfwQmoA8N_Kcc8yOMug1WBb8Erc6HFc2T0-BOGqi6X6HqJtDo7g\%3D\%3D&amp;attredirects=0,1,0,7,298,0,9,1
http://www.cse.yorku.ca/~jeff/,0,-1,32,30,0,4,0
http://tools.ietf.org/html/rfc1000,1,1,597,35,0,3,0
http://www.boardgamegeek.com/game/9160,1,-1,2,52,0,2,0
http://sqxb.com/flash/index.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;nzvpdjeamp;ssl=0&amp;dest,0,0,0,114,0,6,1
http://www.angelfire.com/wa2/EasyStreet/,0,0,26,40,0,3,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cqT9bjQruh68XDIkaeUjqyDAdf2eoNvhaAmQHYB7GREjs8pUEs3HcmvDlxW4TRdalaMDMSFySYsda_gUTJ2Fd_0J1bbD1lPDpdHWtOWtMyMS1eDHrmCI9zHU4S-d1XHeMsq_zC-NqVp3XmSjITQn5ZF6yq3k2qNLZV6Sy58D_1XdgZE-thQpv0WQoAWHQAa69h3Exc87IuRn1kbAKhoLz2W720pMA\%3D\%3D&amp;attredirects=0,1,0,7,298,0,9,1
http://www.websitepublisher.net/article/link_popularity/,0,0,0,56,0,3,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cryo2onepraXN7oUQ-Lx3VO7Ysago0NsFwn_FN78pyWB_tZFldURxaxG3gy2mg4GAK9bMaUq3ycM6BHUDVtS3rq8oUsOjHxdvUjxM3TH_yTtKFt4IarIkvGULIc18pqhj8TUlXfDxKBZUMP3fnlhm4opDSWmZncPWxVyfnmfFU__KpBdFzPd0B_aHJ4OfY0V_2VaWFVEAi7RRjSH_AHmmZ1kf7m1Q\%3D\%3D&amp;attredirects=1,1,0,7,298,0,9,1
http://www.gamereport.com/tgr17/siedlercardgame.html,0,0,0,52,0,4,0
http://affiliatealmanac.com/systembanking/bdeb783e7ccacd536f96d91faef1cda4/,1,0,0,163,0,4,1
http://java.sun.com/developer/technicalArticles/Networking/Webserver/,1,0,93,41,0,3,0
http://tools.ietf.org/html/rfc3782,1,1,232,35,0,3,0
http://www.uniflooreg.com/remax/remax/index.htm,0,0,0,47,0,4,1
http://www.fibtex.lodz.pl/57_16_58.pdf,0,0,0,38,0,5,0
http://bjh21.me.uk/acorn/manuals/Sys2TM/contents.html,0,0,4,53,0,4,0
http://www.freewebs.com/lardtubwargames/,1,0,1,41,0,3,0
http://www.rtf2fo.com/index.html,0,0,0,32,0,4,0
http://www.allproducts.com/sup017/mingcheng/,1,0,32,45,0,3,0
http://www.bizjournals.com/denver/stories/1997/05/12/story2.html,1,0,0,65,0,4,0
http://tehelkalive.com/language/en-GB/bin/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/,1,0,99,105,0,5,1
http://rsiakendangsari.com/images/upgrade/update/,0,0,0,49,0,2,1
http://pastehtml.com/view/bfoav7k67.html,1,0,1,41,0,3,1
