url,href_count,url_length,meta_data,email_count,name_server_count,status_count,activeDuration,domain_name_len,label
http://tools.ietf.org/html/rfc772,39,34,8,0,6,3,9370,8,0
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,0,152,0,0,3,1,8411,8,1
http://tools.ietf.org/html/rfc713,77,34,7,0,6,3,9370,8,0
http://elizajayneoriginals.tripod.com/everythingbaby/,20,53,6,2,8,8,9533,25,0
http://tools.ietf.org/html/rfc104,5,34,8,0,6,3,9370,8,0
http://www.members.shaw.ca/rnchan/,5,34,3,2,-1,-1,7310,7,0
http://netboletonline.webatu.com/env_cred.php,1,46,5,2,2,8,4913,14,1
http://www.microsoft.com/msj/0599/complusprog/complusprog.aspx,110,62,5,4,8,12,10779,31,0
http://en.wikipedia.org/wiki/General_MIDI,424,42,6,2,6,6,7235,31,0
http://free-mobiles2u.co.uk/schemas/wellsfargo.com/index.htm,2,60,3,-1,1,1,520,20,1
http://www.netbsd.org/about/redistribution.html,50,47,3,3,10,1,9726,21,0
http://news.cnet.com/2100-1017-955806.html,230,60,47,3,8,12,9741,31,0
http://klepa.net/.www.americanexpress.com/uk/,95,16,5,0,2,1,7488,8,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpTbaYgcQQpUeqbLW_me1O2InYOBHFq824sCCuN7f3CdR8DqHD9PLAmqw8RR0yulU3yQ828hoQmOuu8Qn1fIaiblOyYXb85VdvJb4djfUJNSoDLLm5kUkSBqNDF6xN7XlnfG8wxhkeqqkV5o2iVxRRF6XKDDaAhY_5wpQ0-iNHXfwQmoA8N_Kcc8yOMug1WBb8Erc6HFc2T0-BOGqi6X6HqJtDo7g\%3D\%3D&amp;attredirects=0,7,298,4,2,8,12,8451,31,1
http://www.cse.yorku.ca/~jeff/,32,30,1,0,-1,-1,7334,8,0
http://tools.ietf.org/html/rfc1000,597,35,10,0,6,3,9370,8,0
http://www.boardgamegeek.com/game/9160,2,52,18,0,2,8,7474,17,0
http://sqxb.com/flash/index.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;nzvpdjeamp;ssl=0&amp;dest,0,114,0,0,2,1,5141,1,1
http://www.angelfire.com/wa2/EasyStreet/,26,40,2,2,8,8,8056,25,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cqT9bjQruh68XDIkaeUjqyDAdf2eoNvhaAmQHYB7GREjs8pUEs3HcmvDlxW4TRdalaMDMSFySYsda_gUTJ2Fd_0J1bbD1lPDpdHWtOWtMyMS1eDHrmCI9zHU4S-d1XHeMsq_zC-NqVp3XmSjITQn5ZF6yq3k2qNLZV6Sy58D_1XdgZE-thQpv0WQoAWHQAa69h3Exc87IuRn1kbAKhoLz2W720pMA\%3D\%3D&amp;attredirects=0,7,298,4,2,8,12,8451,31,1
http://www.websitepublisher.net/article/link_popularity/,0,56,0,0,2,8,6490,20,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cryo2onepraXN7oUQ-Lx3VO7Ysago0NsFwn_FN78pyWB_tZFldURxaxG3gy2mg4GAK9bMaUq3ycM6BHUDVtS3rq8oUsOjHxdvUjxM3TH_yTtKFt4IarIkvGULIc18pqhj8TUlXfDxKBZUMP3fnlhm4opDSWmZncPWxVyfnmfFU__KpBdFzPd0B_aHJ4OfY0V_2VaWFVEAi7RRjSH_AHmmZ1kf7m1Q\%3D\%3D&amp;attredirects=1,7,298,4,2,8,12,8451,31,1
http://www.gamereport.com/tgr17/siedlercardgame.html,0,52,5,2,4,2,7980,15,0
http://affiliatealmanac.com/systembanking/bdeb783e7ccacd536f96d91faef1cda4/,0,163,9,0,2,11,7907,12,1
http://java.sun.com/developer/technicalArticles/Networking/Webserver/,93,41,17,4,12,12,11660,31,0
http://tools.ietf.org/html/rfc3782,232,35,11,0,6,3,9370,8,0
http://www.uniflooreg.com/remax/remax/index.htm,0,47,0,0,4,2,2382,14,1
http://www.fibtex.lodz.pl/57_16_58.pdf,0,38,0,-1,1,0,9439,7,0
http://bjh21.me.uk/acorn/manuals/Sys2TM/contents.html,4,53,0,-1,1,1,6141,11,0
http://www.freewebs.com/lardtubwargames/,1,41,1,0,2,2,7451,1,0
http://www.rtf2fo.com/index.html,0,32,0,2,4,2,934,13,0
http://www.allproducts.com/sup017/mingcheng/,32,45,10,4,2,1,8790,26,0
http://www.bizjournals.com/denver/stories/1997/05/12/story2.html,0,65,1,2,8,2,7559,25,0
http://tehelkalive.com/language/en-GB/bin/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/,99,105,4,0,2,8,940,1,1
http://rsiakendangsari.com/images/upgrade/update/,0,49,0,2,8,2,242,19,1
http://pastehtml.com/view/bfoav7k67.html,1,41,1,2,4,2,4300,13,1
http://home.comcast.net/~betty.harrison/,7,39,2,2,10,8,6495,25,1
http://tools.ietf.org/html/rfc2946,43,35,8,0,6,3,9370,8,0
http://paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.bihanos.newwayglobal.com/account.clinets/confirmed\%3Fa6=ided6aee8d43con/,39,67,1,0,2,8,6214,15,1
http://en.wikipedia.org/wiki/Flame_war,446,39,6,2,6,6,7235,31,0
