,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank,label
0,1,1,1,1746052130,199,0,48,0,0,1,223,1.0
1,0,1,0,792272303,0,1,23,1,0,0,10000000,1.0
2,1,1,0,1749720821,72,0,62,0,0,1,745,1.0
3,0,1,0,1761038726,1,0,166,1,0,1,10000000,1.0
4,0,1,0,2153604386,31,0,34,1,0,1,41632,0.0
5,1,1,1,2539998937,98,0,101,0,0,1,44147,1.0
6,1,1,0,2148085614,54,0,29,0,0,0,81967,1.0
7,0,1,0,3562249880,0,1,63,1,0,1,11333,1.0
8,1,1,0,3630769677,278,0,42,0,0,1,467,0.0
9,1,1,0,846220513,91,0,44,0,0,1,15720,1.0
10,0,1,0,1176642013,0,1,35,1,0,1,10000000,1.0
11,1,1,0,915417553,64,0,50,0,0,1,11975,1.0
12,1,1,0,1760402850,105,1,47,0,0,1,3162478,1.0
13,0,1,0,1139008240,0,1,30,1,0,0,10000000,1.0
14,0,1,0,3272879186,0,1,96,1,1,1,10000000,1.0
15,0,1,0,3342594713,0,0,72,1,0,1,10000000,1.0
16,0,1,-1,676285953,62,0,25,1,0,1,2518,1.0
17,0,1,0,1150278467,18,0,36,1,0,1,10000000,1.0
18,1,1,0,3659159763,21,0,21,1,0,1,10000000,1.0
19,0,1,0,3353846852,148,0,39,1,0,1,201841,1.0
20,1,1,0,3118534884,11,0,24,0,0,1,2953015,1.0
21,1,1,0,2087482212,0,1,36,1,0,0,56184,1.0
22,0,1,0,1158735402,0,1,79,1,0,0,8638306,1.0
23,1,1,0,3352098948,32,1,81,1,0,1,10000000,0.0
24,0,1,0,3024913584,3,0,101,1,0,1,10000000,1.0
25,0,1,0,3359272489,0,1,151,1,0,0,10000000,1.0
26,1,1,0,1126894965,54,1,34,0,0,1,984816,1.0
27,1,1,0,2632598558,11,0,138,1,0,0,10000000,0.0
28,1,1,-1,3088669852,104,0,40,0,0,1,3688,0.0
29,1,1,0,2671847414,5,1,49,1,0,1,10000000,1.0
30,1,1,1,1084908074,296,0,35,0,0,1,12119,0.0
31,1,1,0,3166201157,6,1,28,0,0,1,21394,1.0
32,1,1,1,1084908074,22,0,34,0,0,1,12119,1.0
33,1,1,1,2899908659,83,0,21,0,0,1,878714,1.0
34,1,1,1,1084908074,22,0,34,0,0,1,12119,1.0
35,1,1,0,3249153359,43,0,47,0,0,1,56789,1.0
36,1,1,1,1734780640,2400,0,35,0,0,1,13,1.0
37,1,1,0,1438356564,586,0,30,0,0,1,10000000,1.0
38,1,1,1,3645522199,435,0,23,0,0,1,723,1.0
39,1,1,1,2149450368,98,1,34,0,0,1,511,1.0
40,1,1,-1,2337169561,224,0,50,1,0,1,17746,0.0
41,1,1,0,2572943460,1,1,46,0,0,1,6382,1.0
42,1,1,1,1084908074,7,0,34,0,0,1,12119,1.0
43,1,1,1,1084908074,105,0,35,0,0,1,12119,0.0
44,1,1,1,1749818391,112,0,38,0,0,1,21,1.0
45,0,1,0,1027134815,0,0,41,1,0,0,2456673,1.0
46,1,1,0,3228382731,0,1,32,0,0,0,10000000,1.0
47,0,1,0,2632512223,0,1,44,1,0,0,10000000,1.0
48,1,1,-1,1746176577,1,0,61,0,0,1,2941,1.0
49,0,1,0,1896518574,0,1,117,1,0,0,10000000,1.0
50,0,1,0,1539695944,0,1,35,1,0,1,10000000,1.0
51,0,1,0,2991409416,126,0,54,1,0,1,4724390,1.0
52,0,1,0,1317030969,0,1,43,1,0,0,10000000,1.0
53,1,1,1,1084908074,13,0,35,0,0,1,12119,1.0
54,1,1,0,885995536,48,0,49,0,0,1,332017,1.0
55,0,1,0,3638200178,0,0,39,1,0,0,7662052,0.0
56,1,1,0,2572943460,1,1,46,0,0,1,6382,1.0
57,0,1,0,1161649432,30,0,44,1,0,1,6387936,0.0
58,1,1,1,1084908074,12,0,34,0,0,1,12119,1.0
59,1,1,0,2760154740,116,0,37,0,0,1,10000000,1.0
60,1,1,0,315450467,174,0,33,0,0,1,28269,1.0
61,0,1,0,2734503502,2,1,46,1,0,1,10000000,1.0
62,1,1,0,599674706,203,1,45,0,0,1,167,1.0
63,0,1,0,3740452451,0,1,97,1,0,0,10000000,1.0
64,1,1,0,2330464485,47,0,46,0,0,1,337280,1.0
65,0,1,0,873185215,0,1,52,1,0,1,10000000,1.0
66,1,1,0,600859778,15,0,24,0,0,1,4346814,1.0
67,0,1,0,2322961532,0,1,50,1,0,0,10000000,1.0
68,0,1,0,844599854,0,1,34,1,0,0,10000000,0.0
69,1,1,0,1079650677,43,0,25,1,0,1,10000000,1.0
70,0,1,0,1745964574,1,1,42,1,0,1,7036,1.0
71,0,1,0,1118779913,10,0,30,1,0,1,9920297,0.0
72,0,1,0,3272878384,0,1,32,1,1,1,10000000,1.0
73,0,1,0,3247100958,5,0,19,1,0,1,10000000,1.0
74,1,1,1,2155520798,66,0,71,0,0,1,2676,1.0
75,0,1,0,1079769184,39,0,36,1,0,1,2671145,1.0
76,1,1,-1,1749809868,188,0,23,1,0,1,32759,1.0
77,1,1,0,3630769674,1,1,49,1,0,1,467,0.0
78,0,1,0,1076395584,0,0,37,1,0,1,4874289,1.0
79,1,1,0,3237904474,65,1,51,0,0,1,787525,1.0
80,0,1,0,3107303870,2,0,39,1,0,1,10000000,1.0
81,1,1,1,1084908074,10,0,34,0,0,1,12119,1.0
82,0,1,0,3280110677,14,0,49,1,0,1,7551,1.0
83,0,1,0,3740452451,0,1,97,1,0,0,10000000,1.0
84,0,1,0,3328824294,61,0,36,1,0,1,10000000,1.0
85,0,1,-1,1625762724,50,0,41,1,0,1,772428,1.0
86,0,1,0,1632285824,3,0,36,1,0,1,10000000,1.0
